141.101.76.166 - - [01/Mar/2025:19:10:56 +0100] "GET /_astro/icon-robot.r_9lib1x_Z2oasfX.svg HTTP/1.1" 200 3643 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
172.71.183.131 - - [01/Mar/2025:19:10:56 +0100] "GET /_astro/icon-refresh.DWz0FGi5_Z21s75.svg HTTP/1.1" 200 3332 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
104.23.168.29 - - [01/Mar/2025:19:10:56 +0100] "GET /_astro/icon-globe.BHB-Upsb_1gvJ6v.svg HTTP/1.1" 200 1946 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
172.71.95.85 - - [01/Mar/2025:19:10:56 +0100] "GET /_astro/icon-chart.Bbdw-l33_Z26tC4h.svg HTTP/1.1" 200 1172 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
104.23.172.64 - - [01/Mar/2025:19:10:56 +0100] "GET /_astro/icon-message.BCRzpCzJ_ZpvxD5.svg HTTP/1.1" 200 1523 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
172.71.99.129 - - [01/Mar/2025:19:10:56 +0100] "GET /_astro/icon-graph.D728E71Q_Z1babSq.svg HTTP/1.1" 200 1838 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
172.71.103.167 - - [01/Mar/2025:19:10:56 +0100] "GET /work/automatizovane-zpracovani-dokumentu.webp HTTP/1.1" 200 55881 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
141.101.76.67 - - [01/Mar/2025:19:10:56 +0100] "GET /work/automaticky-emailovy-marketing.webp HTTP/1.1" 200 47743 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
172.71.103.66 - - [01/Mar/2025:19:10:56 +0100] "GET /work/automatizovane-schvalovani-dokumentu.webp HTTP/1.1" 200 41269 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
172.71.99.150 - - [01/Mar/2025:19:10:56 +0100] "GET /work/automatizovane-firemni-reporty.webp HTTP/1.1" 200 61611 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
172.71.183.185 - - [01/Mar/2025:19:10:56 +0100] "GET /work/automatizovana-sprava-objednavek.webp HTTP/1.1" 200 38471 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
172.71.102.179 - - [01/Mar/2025:19:10:56 +0100] "GET /work/automatizovane-reporty-o-vykonnosti.webp HTTP/1.1" 200 40855 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
104.23.168.20 - - [01/Mar/2025:19:10:56 +0100] "GET /work/platforma-pro-skoleni-ML.webp HTTP/1.1" 200 60681 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
141.101.76.193 - - [01/Mar/2025:19:10:56 +0100] "GET /work/analyza-dokumentu-pomoci-AI.webp HTTP/1.1" 200 98528 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
104.23.170.19 - - [01/Mar/2025:19:10:56 +0100] "GET /work/optimalizace-dodavatelskeho-retezce-pomoci-AI.webp HTTP/1.1" 200 62339 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
172.70.46.235 - - [01/Mar/2025:19:10:56 +0100] "GET /work/skoleni-pro-AI-automatizacni-proces.webp HTTP/1.1" 200 183977 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
141.101.76.193 - - [01/Mar/2025:19:10:56 +0100] "GET /work/prediktivni-udrzba-pomoci-AI.webp HTTP/1.1" 200 87373 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
172.71.95.36 - - [01/Mar/2025:19:10:57 +0100] "GET /work/nepretrzita-zakaznicka-podpora-s-AI.webp HTTP/1.1" 200 99208 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
141.101.76.44 - - [01/Mar/2025:19:10:58 +0100] "GET /work/skoleni-pro-automatizovanou-komunikaci.webp HTTP/1.1" 200 38021 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
172.71.99.51 - - [01/Mar/2025:19:10:58 +0100] "GET /work/rozpoznavani-vzoru-v-dokumentech-pomoci-AI.webp HTTP/1.1" 200 119235 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
104.23.170.64 - - [01/Mar/2025:19:10:59 +0100] "GET /work/analyza-spokojenosti-zakazniku-pomoci-AI.webp HTTP/1.1" 200 31809 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
172.70.47.6 - - [01/Mar/2025:19:10:59 +0100] "GET /work/optimalizace-logistiky-pomoci-AI.webp HTTP/1.1" 200 59203 "https://praut.cz" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"
